,importance
target_hour,0.08444608002901077
origin_roll_mean_168,0.047784335911273956
target_dow_sin,0.044864799827337265
target_dow_cos,0.03779485821723938
origin_roll_std_12,0.03764316812157631
origin_roll_std_168,0.03726130723953247
target_dayofweek,0.03653072565793991
origin_T9,0.03277956694364548
origin_T8,0.03234140947461128
target_is_weekend,0.03160868585109711
origin_Press_mm_hg,0.030508628115057945
origin_RH_6,0.030457329005002975
target_hour_cos,0.029797039926052094
origin_T5,0.028926050290465355
origin_roll_mean_24,0.026763558387756348
target_hour_sin,0.026460470631718636
origin_T7,0.025866836309432983
origin_roll_std_24,0.023689793422818184
origin_T3,0.022166576236486435
origin_RH_4,0.020163485780358315
origin_RH_1,0.019286878407001495
origin_RH_7,0.01896142028272152
origin_Tdewpoint,0.018461236730217934
origin_RH_3,0.017860664054751396
origin_diff_24,0.01761126145720482
origin_RH_8,0.016692891716957092
origin_RH_5,0.015234336256980896
origin_T4,0.014442856423556805
origin_RH_2,0.01432916708290577
origin_Windspeed,0.011962288990616798
origin_T_out,0.011719666421413422
origin_T1,0.011620358563959599
origin_RH_out,0.011171852238476276
origin_roll_mean_3,0.009982421062886715
origin_RH_9,0.008658911101520061
origin_T6,0.00838007777929306
origin_roll_mean_12,0.008216931484639645
origin_T2,0.008107470348477364
origin_roll_std_6,0.007803329732269049
h,0.005963937845081091
origin_roll_mean_6,0.005745911039412022
origin_lag_24,0.00531401252374053
origin_roll_std_3,0.005163752473890781
origin_lag_0,0.00506441667675972
origin_lag_48,0.004995495546609163
origin_lights,0.004469799809157848
origin_lag_168,0.004466886166483164
origin_Visibility,0.003624691627919674
origin_lag_6,0.0034096173476427794
origin_diff_1,0.0033207465894520283
origin_lag_2,0.002697806339710951
origin_lag_1,0.0026605851016938686
origin_lag_12,0.002526861149817705
origin_lag_3,0.0022167046554386616
