model,MAE,RMSE,MASE,Bias,notes,MASE_vs_best_benchmark
feature_model_one_step,32.148872549571685,54.103757312907746,0.6017708657688756,3.7997420553177155,"one-step design from the demo pipeline; uses lag_1, so NOT a valid 24-hour-ahead forecast. Reported as a leakage diagnostic only.",0.8447407545114467
foundation_model,32.82044023559207,67.09191612239162,0.6143414424575524,-18.649206657258286,zero-shot amazon/chronos-2; target history only,0.8623868039310529
sarimax_target_only,36.45200645226906,64.58929317968244,0.6823180330187609,-5.679112373931178,target only; no covariates,0.9578094966305787
feature_model,36.702393142003864,64.29985577896777,0.6870048354820941,-5.479265731478492,gradient boosting; all predictors observable at the forecast origin,0.9643886337645502
sarimax_calendar,37.51242586583889,64.54297565100164,0.7021672363647907,-5.708971705109674,calendar covariates only; genuinely known in advance,0.9856729775080598
seasonal_mean_profile,38.05767909015458,63.737607972521694,0.7123734264684649,-3.38983948842695,target only; known at forecast origin,1.0
sarimax,38.08399943024715,65.33684540533609,0.7128660973644788,-6.133964545526358,calendar plus realised weather; conditional forecast,1.0006915907833007
feature_model_conditional,40.859185551840156,64.72172283012951,0.7648127450264057,5.770274041190983,as above plus realised future weather; conditional forecast,1.0736121205670242
seasonal_naive_weekly,43.45734126984127,81.40888006825948,0.8134456920578473,-13.159722222222223,target only; known at forecast origin,1.1418810160991548
seasonal_naive_daily,48.30853174603175,85.56471876821426,0.9042515232223918,1.750992063492064,target only; known at forecast origin,1.2693504412498195
mean,50.25809156123767,74.938304240935,0.9407438853124056,-3.286761541802698,target only; known at forecast origin,1.3205768917800167
naive,85.55059523809524,110.38970919802894,1.6013580471317992,50.97718253968254,target only; known at forecast origin,2.247919402426906
drift,85.8020893795971,110.67918975059627,1.6060655791621687,51.36792204027676,target only; known at forecast origin,2.2545276388594564
